t=2025-12-19T11:46:15-0500 lvl=info msg="no configuration paths supplied"
t=2025-12-19T11:46:15-0500 lvl=info msg="using configuration at default config path" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml"
t=2025-12-19T11:46:15-0500 lvl=info msg="open config file" path="/Users/fibonacci/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=4e7a6960b1be l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=c4fa09385fa4 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=9ead46ecc0a7 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:20-0500 lvl=info msg="join connections" obj=join id=9f2a750d4b95 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:06:21-0500 lvl=info msg="join connections" obj=join id=ad8f481735b8 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57446
t=2025-12-19T12:06:33-0500 lvl=info msg="join connections" obj=join id=8d72412b84a0 l=[::1]:5173 r=[2607:fb90:ea93:8728:e8e1:d583:c170:eb35]:57442
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=4978a854d5c1 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57912
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=bda87a6e6920 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57918
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=d97ec5c09fe0 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57912
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=2166d9cdc8a9 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57912
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=15aa8345e379 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57912
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=9c6aad8657fb l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57912
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=fe07cd5e2e24 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57912
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=1ced69487f90 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57922
t=2025-12-19T12:07:30-0500 lvl=info msg="join connections" obj=join id=2fc21fbec2e4 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:57926
t=2025-12-19T12:07:39-0500 lvl=info msg="join connections" obj=join id=6d77de676bc6 l=[::1]:5173 r=[2600:1003:b036:823d:78e2:975f:5a4c:9b7f]:58802
t=2025-12-19T12:22:46-0500 lvl=info msg="join connections" obj=join id=40c95aa237d7 l=[::1]:5173 r=147.9.2.204:32296
t=2025-12-19T12:26:13-0500 lvl=info msg="join connections" obj=join id=e1062b15c56d l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:14-0500 lvl=info msg="join connections" obj=join id=16acf1954a42 l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:14-0500 lvl=info msg="join connections" obj=join id=9ba289c3911e l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=46753d77b305 l=[::1]:5173 r=196.20.219.201:10013
t=2025-12-19T12:26:15-0500 lvl=info msg="join connections" obj=join id=ad2297ab7f00 l=[::1]:5173 r=196.20.219.201:10013
